id,review_title,score,phrase,reviewer,reviewed_on,review_date,review_id,review_url,game_title,release_date,platform,genre,features,franchise,developer,publisher,game_id,game_url
151,"999: 9 Hours, 9 Persons, 9 Doors Review",9,amazing,Lucas M. Thomas,,2010-12-17,2dd45e8b-1b86-49c3-b8da-71460d14bf18,/articles/2010/12/17/999-9-hours-9-persons-9-doors-review,"999: 9 Hours, 9 Persons, 9 Doors",2010-11-16,Nintendo DS,Adventure,,,Chunsoft,Aksys Games,849f9403-88f9-4cdf-b24c-010f77c0c45f,/games/999-9-hours-9-persons-9-doors
152,99Bullets Review,8,great,Lucas M. Thomas,,2011-05-25,0bfa51fe-979d-4a38-aefa-3f4cc8c0c5e9,/articles/2011/05/25/99bullets-review,99Bullets,2011-05-23,Nintendo DSi,Action,Number Of Players,,EnjoyUp,EnjoyUp,d6f2ec28-3626-484e-996a-dd04560b6a1d,/games/99bullets
153,Aaru's Awakening Review,6.7,okay,Jon Ryan,,2015-03-03,72a94c80-7bae-49e0-9865-9203769efad8,/articles/2015/03/03/aarus-awakening-review,Aaru's Awakening,2015-02-24,"['Macintosh', 'PC', 'PlayStation 4', 'PlayStation 3', 'Xbox One']","['Platformer', 'Action']",,,Lumenox Games,Lumenox Games,26550318-2212-4408-bcc1-e205c454656b,/games/aarus-awakening
154,A Bird Story Review,8.8,great,Cassidee Moser,,2014-11-26,8afa3d54-dcc4-40b1-8e6b-33f26e4670ce,/articles/2014/11/26/a-bird-story-review,A Bird Story,2013-11-06,"['PC', 'Macintosh', 'Linux']",RPG,Number Of Players,,Freebird Games,Freebird Games,3974b561-7703-4c7f-8afc-269fb4d950ff,/games/a-bird-story
155,Abomination: The Nemesis Project,5,mediocre,,,1999-12-02,f8e23768-48e7-44e3-bb33-54a2468dfa77,/articles/1999/12/02/abomination-the-nemesis-project,Abomination: The Nemesis Project,1999-11-08,PC,Strategy,"['Memory Card', 'EAX', 'Number Of Players', 'Online']",,Hothouse Creations,Eidos Interactive,987d67f3-7bf7-4147-a790-c427b63cd348,/games/abomination-the-nemesis-project
156,Above Review,7.5,good,Levi Buchanan,,2010-04-29,908ecab0-f620-4467-b4eb-ade776fd1669,/articles/2010/04/29/above-review,Above [2010],2010-04-03,iPhone,Platformer,Number Of Players,,Axolot Games,Axolot Games,06d770d0-d4a2-4bd2-881a-566dbf78b4ef,/games/above
157,A Boy and his Blob Review,7.6,good,Matt Casamassina,,2009-10-09,d934f966-08af-4f41-b68f-ad85f2e299cc,/articles/2009/10/09/a-boy-and-his-blob-review,A Boy and His Blob,2016-01-19,"['Xbox One', 'PlayStation Vita', 'PlayStation 4', 'PC', 'PlayStation 3', 'Nintendo Switch', 'Wii']","['Puzzle', 'Platformer']",,,"['WayForward Technologies', 'Abstraction Games']","['Majesco', 'Ziggurat Interactive']",3694aa80-e1d8-4388-b734-3f624e11e623,/games/a-boy-and-his-blob-2009
158,A Boy and His Blob: Trouble on Blobolonia Review,4.5,bad,Lucas M. Thomas,,2009-11-26,18aaa3d1-9dca-4ae7-9f43-c3ddff1c85cc,/articles/2009/11/26/a-boy-and-his-blob-trouble-on-blobolonia-review,A Boy and His Blob: Trouble on Blobolonia,1989-06-01,"['NES', 'Wii']","['Puzzle', 'Action', 'Adventure']",,,Absolute Entertainment,Jaleco,9278ce1a-cf89-4b29-a70f-3652dc99833a,/games/a-boy-and-his-blob-trouble-on-blobolonia
159,Absolute BrickBuster Review,7,good,Lucas M. Thomas,,2010-08-10,617ce8fe-e444-48b8-98a6-805bb18ad91b,/articles/2010/08/10/absolute-brickbuster-review,Absolute BrickBuster,2010-07-26,Nintendo DSi,Action,Number Of Players,,Tasuke,Tasuke,32b73268-6739-4839-b909-f2fb8c52d3cc,/games/absolute-brickbuster
160,Absolute Chess Review,7.5,good,Lucas M. Thomas,,2010-08-13,40b5b70d-0728-4671-bfb1-5c8914c9102c,/articles/2010/08/13/absolute-chess-review,Absolute Chess,2010-08-09,Nintendo DSi,"['Chess', 'Board Game']","['Local - VS # of Players', 'Single-Cartridge Downloadable Multiplayer', 'Number Of Players']",,Tasuke,Tasuke,d0978ab7-5b0f-4fed-b811-fdb5f8ca7208,/games/absolute-chess
161,Absolute Minesweeper,7,good,Levi Buchanan,,2006-07-27,a51f61cb-26c9-451e-bbff-e238e9d75ab4,/articles/2006/07/27/absolute-minesweeper,Absolute Minesweeper,2006-07-25,Wireless,Puzzle,Number Of Players,,Digital Chocolate,Digital Chocolate,ebe0cd2f-c6ad-472f-a78b-a2d4fb6d0b1c,/games/absolute-minesweeper
162,Absolute Reversi Review,7,good,Lucas M. Thomas,,2010-08-27,97573ffe-0eaa-4c69-88f1-499c9393f4af,/articles/2010/08/27/absolute-reversi-review,Absolute Reversi,2010-08-23,Nintendo DSi,Board Game,"['Local - VS # of Players', 'Number Of Players']",,Tasuke,Tasuke,dd085d12-5068-4cb7-95b8-e0e64f6d472c,/games/absolute-reversi
163,Absolver Review,7.6,good,Leif Johnson,,2017-08-29,9c769014-fc7c-4345-9f27-4156ee6bb6b5,/articles/2017/08/29/absolver-review,Absolver,2017-08-29,"['Xbox One', 'PC', 'PlayStation 4']",Action,,,Sloclap,Devolver Digital,fd18d875-f80b-448c-bdf2-43c7bccc10e5,/games/absolver
164,A Bug's Life,3,awful,,,2000-02-09,2d5e794e-a094-49df-87e2-f57c0e82f799,/articles/2000/02/09/a-bugs-life,A Bug's Life [GBC],1999-05-30,Game Boy Color,Action,"['Number Of Players', 'Memory Card']",A Bug's Life,Tiertex Design Studios,THQ,ead05288-1096-4fbf-94e1-6735ec14eb37,/games/a-bugs-life-gbc
165,A Bug's Life,4,bad,Randy Nelson,,1998-11-20,52a20fd9-307f-4703-85cb-894cc8ed0a05,/articles/1998/11/20/a-bugs-life-2,A Bug's Life,1998-11-18,"['PlayStation', 'PC', 'Nintendo 64', 'PlayStation 3', 'PlayStation Portable']",Platformer,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock']",A Bug's Life,Traveller's Tales,"['Sony Computer Entertainment', 'Activision', 'Disney Interactive Studios']",d9bcf934-ee5c-4eb6-9a68-15a6ec654b8b,/games/a-bugs-life
166,A Bug's Life,6.8,okay,Matt Casamassina,,1999-06-02,c99afbd0-e0b9-42f0-b04e-64468bc0767e,/articles/1999/06/02/a-bugs-life-4,A Bug's Life,1998-11-18,"['PlayStation', 'PC', 'Nintendo 64', 'PlayStation 3', 'PlayStation Portable']",Platformer,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock']",A Bug's Life,Traveller's Tales,"['Sony Computer Entertainment', 'Activision', 'Disney Interactive Studios']",d9bcf934-ee5c-4eb6-9a68-15a6ec654b8b,/games/a-bugs-life
167,Abyss Odyssey Review,6.7,okay,Richard Cobbett,,2014-07-24,85d141c8-8c4a-487a-b3ae-707edb0f257e,/articles/2014/07/24/abyss-odyssey-review,Abyss Odyssey,2014-07-15,"['PC', 'Xbox 360', 'PlayStation 3', 'PlayStation 4']","['Action', 'Fighting', 'Platformer']",,,ACE Team,Atlus,e2eefecd-47cc-45f4-93b5-070c59e173ff,/games/abyss-odyssey
168,Abzu Review,8.4,great,Jose Otero,,2016-08-02,e29242a7-7190-437b-b328-203876fc5ddf,/articles/2016/08/02/abzu-review,Abzu,2016-08-02,"['PlayStation 4', 'PC', 'Xbox One', 'Nintendo Switch']",Adventure,,,Giant Squid,505 Games,d28b80b3-610e-41f7-8f30-b3ccfa759a18,/games/abzu
169,Academy: Checkers Review,7,good,Lucas M. Thomas,,2011-10-28,79af1cb9-3ab1-470b-8fb1-9b584540c5d0,/articles/2011/10/28/academy-checkers-review,Academy: Checkers,2011-10-27,Nintendo DSi,Board Game,Number Of Players,,Gamelion Studios,Gamelion Studios,30e737a3-28cd-4a6c-874b-3a752058c9e9,/games/academy-checkers
170,Academy of Champions: Soccer Review,7,good,Nate Ahearn,,2009-11-12,bdb1dec6-7caa-400c-8eef-64d32ad24795,/articles/2009/11/12/academy-of-champions-soccer-review,Academy of Champions,2009-11-03,"['Wii', 'Nintendo DS']",Sports,Wii Motion Plus,,"['Ubisoft', 'Ubisoft Vancouver']",Ubisoft,e65ff46e-bde1-42c9-a1b2-09d6235d20b5,/games/academy-of-champions
171,AC/DC Live: Rock Band Track Pack Review,6.5,okay,Hilary Goldstein,,2008-11-06,933e2654-f10c-42d0-ae21-1174ab5c7251,/articles/2008/11/06/acdc-live-rock-band-track-pack-review-2,AC/DC Live: Rock Band Track Pack,2008-11-02,"['PlayStation 3', 'Xbox 360', 'PlayStation 2', 'Wii']",Music,,,Harmonix,MTV Games,364d5156-1a73-4778-95b9-79d5b496d804,/games/acdc-live-rock-band-track-pack
172,AC/DC Live: Rock Band Track Pack Review,6.5,okay,Hilary Goldstein,,2008-11-07,c1bea207-1eb7-479e-bf9c-76bc667f03ed,/articles/2008/11/07/acdc-live-rock-band-track-pack-review,AC/DC Live: Rock Band Track Pack,2008-11-02,"['PlayStation 3', 'Xbox 360', 'PlayStation 2', 'Wii']",Music,,,Harmonix,MTV Games,364d5156-1a73-4778-95b9-79d5b496d804,/games/acdc-live-rock-band-track-pack
173,AC/DC Live: Rock Band Track Pack Review,5.5,mediocre,Hilary Goldstein,,2009-01-16,d584b856-0c9c-43ab-afc8-3fb7fdbd94fa,/articles/2009/01/16/acdc-live-rock-band-track-pack-review-3,AC/DC Live: Rock Band Track Pack,2008-11-02,"['PlayStation 3', 'Xbox 360', 'PlayStation 2', 'Wii']",Music,,,Harmonix,MTV Games,364d5156-1a73-4778-95b9-79d5b496d804,/games/acdc-live-rock-band-track-pack
174,Ace Attorney Investigations: Miles Edgeworth Review,7.6,good,Hilary Goldstein,,2010-02-16,4927cda3-254e-4ac4-8401-a516fe251d41,/articles/2010/02/16/ace-attorney-investigations-miles-edgeworth-review,Ace Attorney Investigations: Miles Edgeworth,2010-02-16,Nintendo DS,Adventure,Number Of Players,Ace Attorney,Capcom,Capcom,da272f1d-39f2-42be-add6-c9264dcef148,/games/ace-attorney-investigations-miles-edgeworth
175,Ace Combat 2,9,amazing,,,1997-08-23,4f894b00-c451-46c7-82be-08e97e6d347f,/articles/1997/08/23/ace-combat-2,Ace Combat 2,1997-08-15,PlayStation,"['Action', 'Flight']",Number Of Players,Ace Combat,Namco,"['Electro Source', 'Namco']",e95ae73e-4a3b-43f0-965e-1623cb603fb3,/games/ace-combat-2
176,Ace Combat 3,9,amazing,Sam Bishop,,2000-03-14,e64cb402-b73a-4008-9cf0-0e889e15663c,/articles/2000/03/14/ace-combat-3,Ace Combat 3: Electrosphere,2000-03-02,PlayStation,"['Flight', 'Action']","['Number Of Players', 'Memory Card', 'Vibration', 'DualShock']",Ace Combat,Namco,"['Electro Source', 'Namco']",3747e667-09e1-4a99-85b2-899c0592d8db,/games/ace-combat-3-electrosphere
177,Ace Combat 4: Shattered Skies,9.1,amazing,David Smith,,2001-10-23,2a87206c-a0ea-422a-8962-0d88e11e33e5,/articles/2001/10/23/ace-combat-4-shattered-skies,Ace Combat 4: Shattered Skies,2001-10-23,PlayStation 2,"['Action', 'Flight']","['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', '16:9']",Ace Combat,Namco,Namco,b83321f2-5ade-480f-97b5-ea97cc4c0c01,/games/ace-combat-4-shattered-skies
178,Ace Combat 5: The Unsung War,9.3,amazing,Ivan Sulic,,2004-10-26,ce9cae5a-a1b5-42ca-b1bc-143c2ade903a,/articles/2004/10/26/ace-combat-5-the-unsung-war,Ace Combat 5: The Unsung War,2004-10-25,"['PlayStation 2', 'PlayStation 4']","['Action', 'Flight']","['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', 'Dolby Pro Logic II', 'Online']",Ace Combat,Project Aces,"['Bandai Namco Games', 'Ingram Entertainment', 'Namco']",7d6d1f07-e875-46fd-bc8b-b7c3d3297135,/games/ace-combat-5
179,Ace Combat 6 Ace-Edge Bundle Review,8.4,great,Erik Brudvig,,2007-10-20,a20a9440-476e-49a0-a778-cad954181530,/articles/2007/10/20/ace-combat-6-ace-edge-bundle-review,Ace Combat 6: Fires of Liberation,2007-10-22,Xbox 360,"['Action', 'Flight']",Online,Ace Combat,Project Aces,"['Bandai Namco Games', 'Namco']",9acce762-046b-4a12-970e-e66bd035f788,/games/ace-combat-6-fires-of-liberation
180,Ace Combat 6: Fires of Liberation AU Review,8.2,great,Bennett Ring,,2007-12-06,e467f07a-373b-4ec3-a5dd-e01072a5359a,/articles/2007/12/06/ace-combat-6-fires-of-liberation-au-review,Ace Combat 6: Fires of Liberation,2007-10-22,Xbox 360,"['Action', 'Flight']",Online,Ace Combat,Project Aces,"['Bandai Namco Games', 'Namco']",9acce762-046b-4a12-970e-e66bd035f788,/games/ace-combat-6-fires-of-liberation
181,Ace Combat 6 Review,8.4,great,Erik Brudvig,,2007-10-20,1dc91330-1bab-4a7a-8504-ac35fe5051df,/articles/2007/10/20/ace-combat-6-review,Ace Combat 6: Fires of Liberation,2007-10-22,Xbox 360,"['Action', 'Flight']",Online,Ace Combat,Project Aces,"['Bandai Namco Games', 'Namco']",9acce762-046b-4a12-970e-e66bd035f788,/games/ace-combat-6-fires-of-liberation
182,Ace Combat 7: Skies Unknown Review,7,good,Mike Epstein,,2019-01-18,07534992-12c4-4218-aae9-b705a1efdb48,/articles/2019/01/18/ace-combat-7-skies-unknown-review,Ace Combat 7: Skies Unknown,2019-01-18,"['Xbox One', 'PlayStation 4', 'PC']","['Action', 'Simulation', 'Flight']","['Online Versus Multiplayer', 'PlayStation VR']",Ace Combat,Project Aces,Bandai Namco Games,64898f61-095c-4d2b-a243-033060cb8e06,/games/ace-combat-7
183,Ace Combat Advance,4.5,bad,Craig Harris,,2005-03-19,59dcbc42-5eba-473b-8b8f-a89fc3497994,/articles/2005/03/19/ace-combat-advance,Ace Combat Advance,2005-02-22,Game Boy Advance,"['Action', 'Flight']","['Number Of Players', 'Memory Card']",Ace Combat,HumanSoft,"['Ingram Entertainment', 'Namco', 'Atari']",23c9547c-2653-4577-ab34-4685330af193,/games/ace-combat-advance
184,Ace Combat: Assault Horizon Legacy Review,8,great,Lucas M. Thomas,,2011-12-14,36657ca8-3764-4811-913a-35ff1ffa596a,/articles/2011/12/14/ace-combat-assault-horizon-legacy-review,Ace Combat Assault Horizon Legacy,2011-11-15,Nintendo 3DS,"['Action', 'Flight']",,Ace Combat,Access Games (JP),Bandai Namco Games,f545f7d1-aa01-4dff-ac9b-e8184ecc0921,/games/ace-combat-assault-horizon-legacy
185,Ace Combat: Assault Horizon Review,7.5,good,Jack DeVries,,2011-10-14,1219de07-ea57-414d-8b83-a2ac16bbfbfa,/articles/2011/10/14/ace-combat-assault-horizon-review,Ace Combat Assault Horizon,2011-10-11,"['PlayStation 3', 'Xbox 360']","['Action', 'Flight']",Online,Ace Combat,Project Aces,Bandai Namco Games,edcde564-fbc4-4237-a538-12b12d1a634b,/games/ace-combat-assault-horizon
186,Ace Combat: Joint Assault Review,6.5,okay,Ryan Geddes,,2010-09-10,bdabd717-d5ec-47e2-a775-b5a6d5148a5f,/articles/2010/09/10/ace-combat-joint-assault-review,Ace Combat: Joint Assault,2010-08-31,PlayStation Portable,"['Action', 'Flight']","['Number Of Players', 'Online - VS Number Of Players', 'Online - Co-Op Number Of Players', 'Online', 'Local - VS # of Players', 'Local - Co-Op # of Players', 'Multi-cartridge Multiplayer']",Ace Combat,Project Aces,Bandai Namco Games,8320836a-9b41-432e-add3-7aa92fd6b368,/games/ace-combat-joint-assault
187,Ace Combat Xi Review,6.8,okay,Eduardo Vasconcellos,,2009-12-04,6a04c642-dd12-4f8c-ab4b-a73cfab61fb9,/articles/2009/12/04/ace-combat-xi-review,Ace Combat X: Skies of Deception,2006-10-24,"['PlayStation Portable', 'iPhone']","['Action', 'Flight']","['Number Of Players', 'Memory Card', 'Local - VS # of Players', 'Local - Co-Op # of Players', 'Multi-cartridge Multiplayer']",Ace Combat,Namco,"['Bandai Namco Games', 'Ingram Entertainment', 'Namco']",d4dd3eeb-49c2-48fd-94a7-46edef77bfeb,/games/ace-combat-x-skies-of-deception
188,Ace Combat X: Skies of Deception Review,8.7,great,Juan Castro,,2006-10-20,eac41684-a568-45db-9ded-b5c861b0fa7f,/articles/2006/10/20/ace-combat-x-skies-of-deception-review,Ace Combat X: Skies of Deception,2006-10-24,"['PlayStation Portable', 'iPhone']","['Action', 'Flight']","['Number Of Players', 'Memory Card', 'Local - VS # of Players', 'Local - Co-Op # of Players', 'Multi-cartridge Multiplayer']",Ace Combat,Namco,"['Bandai Namco Games', 'Ingram Entertainment', 'Namco']",d4dd3eeb-49c2-48fd-94a7-46edef77bfeb,/games/ace-combat-x-skies-of-deception
189,Ace Combat Zero: The Belkan War,8.8,great,Juan Castro,,2006-04-21,dc71bda5-2bd3-4c75-bc4d-16292d3294bf,/articles/2006/04/21/ace-combat-zero-the-belkan-war,Ace Combat Zero: The Belkan War,2006-04-25,PlayStation 2,"['Action', 'Flight']","['Number Of Players', 'Memory Card']",Ace Combat,Project Aces,"['Sony Computer Entertainment', 'Ingram Entertainment', 'Namco']",a03d584f-68b7-443d-91f3-a4ed2e30fdf7,/games/ace-combat-zero-the-belkan-war
190,Ace of Spades Review,5.9,mediocre,Leif Johnson,,2013-01-05,32802211-c51b-4535-afbe-461877cb7461,/articles/2013/01/05/ace-of-spades-review,Ace of Spades,2012-12-12,PC,Shooter,Online,,Independent,Independent,b8734487-227a-4b12-8291-32123f70f92b,/games/ace-of-spades-2012
191,Acer GN246HL 144Hz Gaming Monitor Review,6.8,okay,Seth G. Macy,,2017-01-13,13d55f94-c8e7-41ea-8057-4336b79c1a75,/articles/2017/01/13/acer-gn246hl-144hz-gaming-monitor-review,"Acer GN246HL Bbid 144 Hz 3D 24"" Monitor",2014-09-22,PC,"['Hardware', 'TV / Monitor / Display']",,,,Acer,ef65b925-cc78-4311-9472-16f5b19a9e94,/games/acer-gn246hl-bbid-144-hz-24-monitor
192,Aces of the Galaxy Review,7.5,good,Ryan Geddes,,2008-07-09,4fa661b8-fb97-4313-873c-520bf42e25d2,/articles/2008/07/09/aces-of-the-galaxy-review,Aces of the Galaxy,2008-06-04,"['PC', 'Xbox 360']",Action,"['Local - Co-Op # of Players', 'Online - Co-Op Number Of Players', 'Online', 'Number Of Players']",,Artech Studios,Sierra,02a372c2-373b-41a0-a9f9-e3baad74a181,/games/aces-of-the-galaxy
193,Aces of the Galaxy Review,8.4,great,Ryan Geddes,,2008-06-02,c26a1301-238d-429b-941d-33e94189e185,/articles/2008/06/02/aces-of-the-galaxy-review-2,Aces of the Galaxy,2008-06-04,"['PC', 'Xbox 360']",Action,"['Local - Co-Op # of Players', 'Online - Co-Op Number Of Players', 'Online', 'Number Of Players']",,Artech Studios,Sierra,02a372c2-373b-41a0-a9f9-e3baad74a181,/games/aces-of-the-galaxy
194,Aces of WWI,8,great,Levi Buchanan,,2004-03-17,92842805-8ade-42e2-9dd6-f6ab43c02c02,/articles/2004/03/17/aces-of-wwi,Aces of WWI,2004-03-16,Wireless,Strategy,Number Of Players,,Pixel Dust Games,Pixel Dust Games,3200bdfb-c1f0-4016-bead-dc6ce40a990d,/games/aces-of-wwi
195,Ace Yeti Trapper,8,great,Levi Buchanan,,2004-04-24,17c313ba-932f-413a-a724-9adc0282521b,/articles/2004/04/24/ace-yeti-trapper,Ace Yeti Trapper,2003-11-01,Wireless,Puzzle,Number Of Players,,"Super Happy Fun Fun, Inc.",Bandai,08b64c3e-d7ec-4596-92a0-a7295731ccdd,/games/ace-yeti-trapper
196,Achron Review,5,mediocre,,,2011-09-16,9a40281e-bbb6-4f4d-8ac6-22bfab9f14a2,/articles/2011/09/16/achron-review,Achron,2011-08-29,PC,Strategy,Online,,Hazardous Software,Hazardous Software,861a8af1-b65c-4380-bf21-e4a0d9c202b8,/games/achron
197,Action Bass,5,mediocre,David Zdyrko,,2000-08-05,8161f536-ae48-40c4-9847-e38dbbfbb428,/articles/2000/08/05/action-bass,Action Bass,2000-07-27,PlayStation,Hunting,"['Memory Card', 'Number Of Players', 'Vibration', 'DualShock']",,Syscom Entertainment,Take-Two Interactive ,47199c48-2708-4ca5-b95d-2b81006dcd24,/games/action-bass
198,Action Blox Review,6.4,okay,George Roush,,2008-10-13,f2873455-1e1a-4e03-9f88-0c1f3d289662,/articles/2008/10/13/action-blox-review,Action Blox,2008-08-20,iPhone,Action,Number Of Players,,TikGames,TikGames,e302a56b-9343-4940-b673-d2a06fa4d406,/games/action-blox
199,Action Girlz Racing Review,0.8,unbearable,Lucas M. Thomas,,2009-02-12,60fbdc84-f388-487e-8f40-328bd75cf222,/articles/2009/02/12/action-girlz-racing-review,Action Girlz Racing,2008-01-29,"['Wii', 'PlayStation 2', 'PC', 'PlayStation Portable']",Racing,"['Number Of Players', 'Local - VS # of Players']",,Data Design Interactive,"['Conspiracy Entertainment', 'Metro 3D (M3)']",0005b719-45e2-4d32-8afb-b666ad04dc13,/games/action-girlz-racing
200,Actionloop UK Review,7.8,good,,,2007-01-24,9a741313-88d7-4bf1-95ca-a0288ad29694,/articles/2007/01/24/actionloop-uk-review,Magnetica,2006-06-05,Nintendo DS,Puzzle,"['Vibration', 'Single-Cartridge Downloadable Multiplayer', 'Local - VS # of Players', 'Number Of Players']",,Mitchell Corporation,"['Nintendo', 'Ingram Entertainment']",a45a9492-2a4a-42b7-8886-18f7672bc513,/games/magnetica
201,Action Man,6,okay,Nix,,2001-02-21,55888e0a-f29e-4078-a480-caec4e405ff3,/articles/2001/02/21/action-man-2,Action Man,2000-09-30,"['PC', 'Game Boy Color']",Action,"['Number Of Players', 'Memory Card']",,"['Natsume', 'Hasbro Interactive']","['Electro Source', 'THQ', 'Hasbro Interactive']",a0570eb2-9e74-491a-9a58-aeba9c826fce,/games/action-man
202,Action Octopus 3D,3,awful,Levi Buchanan,,2006-02-09,0b2aeabc-8038-44b0-9aed-479fc1b0ccf0,/articles/2006/02/09/action-octopus-3d,Action Octopus 3D,2006-02-01,Wireless,Action,Number Of Players,,Ghem4U,Wider Than,8a713fa2-e59b-46af-a2e1-8e8089d7f999,/games/action-octopus-3d
203,Active Life: Extreme Challenge Review,5,mediocre,Jack DeVries,,2009-09-04,d0289229-7486-4060-8d11-dd78310c7347,/articles/2009/09/04/active-life-extreme-challenge-review,Active Life: Extreme Challenge,2009-08-11,Wii,"['Sports', 'Compilation']",Personal Avatar,,Bandai Namco Games,Bandai Namco Games,4906d93f-e9ef-4599-8cc5-9d06704598af,/games/active-life-extreme-challenge
204,Activision Anthology,8.5,great,Jeremy Dunham,,2002-11-21,5e4dc226-503d-4088-ae2c-fe92e767c84e,/articles/2002/11/21/activision-anthology-2,Activision Anthology,2002-11-25,"['PlayStation 2', 'Game Boy Advance', 'digiBLAST']","['Compilation', 'Action']","['Number Of Players', 'Memory Card', 'Cartridge Save', 'Single-Cartridge Downloadable Multiplayer', 'Online', 'Memory Blocks', 'DualShock', 'Vibration']",,"['Aspyr', 'Barking Lizards', 'Contraband Entertainment']","['Aspyr', 'Activision', 'Nikko Europe']",7b93f804-3d6f-49db-9930-30f3bbb62a9c,/games/activision-anthology
205,Activision Anthology,8.5,great,Craig Harris,,2003-12-11,b646d5b7-7864-405c-bbf6-95dff64a2bca,/articles/2003/12/11/activision-anthology,Activision Anthology,2002-11-25,"['PlayStation 2', 'Game Boy Advance', 'digiBLAST']","['Compilation', 'Action']","['Number Of Players', 'Memory Card', 'Cartridge Save', 'Single-Cartridge Downloadable Multiplayer', 'Online', 'Memory Blocks', 'DualShock', 'Vibration']",,"['Aspyr', 'Barking Lizards', 'Contraband Entertainment']","['Aspyr', 'Activision', 'Nikko Europe']",7b93f804-3d6f-49db-9930-30f3bbb62a9c,/games/activision-anthology
206,Activision Classics,2,painful,Craig Harris,,1998-09-30,c7e15846-2c17-4c11-b0ac-358a5113129c,/articles/1998/09/30/activision-classics,Activision Classics,1998-10-31,PlayStation,Action,Number Of Players,,LTI Gray Matter,"['Activision', 'Fillpoint']",4f617d0d-c15d-4803-96c5-8f3c9adbba97,/games/activision-classics
207,Activision Hits Remixed Review,8.2,great,Craig Harris,,2006-12-16,6e91d1fa-2a9a-4477-b318-f8e09cf4029d,/articles/2006/12/16/activision-hits-remixed-review,Activision Hits Remixed,2006-11-14,PlayStation Portable,"['Action', 'Compilation']","['Multi-cartridge Multiplayer', 'Single-Cartridge Downloadable Multiplayer', 'Memory Card', 'Number Of Players']",,Digital Eclipse Software,"['Activision', 'Ingram Entertainment']",4f4a9757-d9a3-4af9-aa03-f9de65517cbd,/games/activision-hits-remixed
208,Act of War: Direct Action,8.5,great,Dan Adams,,2005-03-15,3b79e305-ce77-4ef7-873e-1bd77bfa9301,/articles/2005/03/15/act-of-war-direct-action,Act of War: Direct Action,2005-03-15,PC,Strategy,"['Memory Card', 'Number Of Players']",,Eugen Systems,"['Ingram Entertainment', 'Atari']",17590693-b60a-4ee5-922e-1f977cb01639,/games/act-of-war-direct-action
209,Actraiser,7.3,good,Levi Buchanan,,2004-08-07,0090a150-1166-471b-b7df-5fabb161c0ba,/articles/2004/08/07/actraiser,ActRaiser,1991-11-01,"['Super NES', 'Wii', 'Wireless']","['Action', 'Simulation']",,Actraiser,"['Quintet', 'Square Enix']","['Enix', 'Macrospace']",3de87185-65ae-40dc-820d-4b74d9226ef6,/games/actraiser
210,ActRaiser 2 Review,7.5,good,Levi Buchanan,,2008-06-26,b7716199-122e-4d27-9b1e-c66e8be6d587,/articles/2008/06/26/actraiser-2-review,ActRaiser 2,1993-11-30,Super NES,Action,Number Of Players,Actraiser,Quintet,Enix,e6834d4f-32ac-47d8-b107-70cb91362995,/games/actraiser-2
211,ActRaiser Review,7.5,good,Lucas M. Thomas,,2007-05-31,768a3430-4fe4-4550-b29e-23b2f564a1da,/articles/2007/05/31/actraiser-review,ActRaiser,1991-11-01,"['Super NES', 'Wii', 'Wireless']","['Action', 'Simulation']",,Actraiser,"['Quintet', 'Square Enix']","['Enix', 'Macrospace']",3de87185-65ae-40dc-820d-4b74d9226ef6,/games/actraiser
212,ActRaiser VC Review,7.5,good,Lucas M. Thomas,,2007-05-31,20eb9e29-455e-4142-93dd-89ed8dddb5a8,/articles/2007/05/31/actraiser-vc-review,ActRaiser,1991-11-01,"['Super NES', 'Wii', 'Wireless']","['Action', 'Simulation']",,Actraiser,"['Quintet', 'Square Enix']","['Enix', 'Macrospace']",3de87185-65ae-40dc-820d-4b74d9226ef6,/games/actraiser
213,Addiction Pinball,8,great,,,1998-07-31,0e491ccd-e432-4ac7-8a56-b906f26e35dc,/articles/1998/07/31/addiction-pinball,Addiction Pinball,1998-05-12,"['PC', 'PlayStation', 'Dreamcast']",Pinball,"['Number Of Players', 'Memory Card', 'DualShock', 'Vibration']",,Team17 Software,"['Microprose', 'Ingram Entertainment', 'Infogrames']",68996878-1c09-4912-b5bf-a50864533b57,/games/addiction-pinball
214,A.D.D. Review,7.5,good,Levi Buchanan,,2009-11-25,e2eb39b3-068e-4ca1-8938-b6a55b077c2b,/articles/2009/11/25/add-review,A.D.D.,2009-11-23,iPhone,Action,,,IUGO Mobile,IUGO Mobile,da7a442c-0835-4e3f-bdfa-96ff2ec6ffee,/games/add
215,Adidas Power Soccer,7,good,,,1996-11-22,3382f6e4-fe9d-4ead-9d08-c00eaa6ea7c7,/articles/1996/11/22/adidas-power-soccer,Adidas Power Soccer,1997-11-17,"['PlayStation', 'PC']",Sports,"['Memory Card', 'Number Of Players']",,Psygnosis,"['Electro Source', 'Psygnosis', 'Ingram Entertainment']",edebf543-b796-421f-a1b4-486f224b565c,/games/adidas-power-soccer
